date,price_usd,source
2010-08-18,0.074,csv_import
2010-08-20,0.0667,csv_import
2010-08-22,0.0664,csv_import
2010-08-24,0.066889,csv_import
2010-08-26,0.066499,csv_import
2010-08-28,0.065,csv_import
2010-08-30,0.069,csv_import
2010-09-01,0.0649,csv_import
2010-09-03,0.0634,csv_import
2010-09-05,0.0629,csv_import
2010-09-07,0.06185,csv_import
2010-09-09,0.0624,csv_import
2010-09-11,0.062,csv_import
2010-09-13,0.06201,csv_import
2010-09-15,0.175,csv_import
2010-09-17,0.0609,csv_import
2010-09-19,0.062599,csv_import
2010-09-21,0.0633,csv_import
2010-09-23,0.063,csv_import
2010-09-25,0.0624,csv_import
2010-09-27,0.062206,csv_import
2010-09-29,0.06219,csv_import
2010-10-01,0.061999,csv_import
2010-10-03,0.0614,csv_import
2010-10-05,0.06301,csv_import
2010-10-07,0.0638,csv_import
2010-10-09,0.12001,csv_import
2010-10-11,0.1301,csv_import
2010-10-13,0.095,csv_import
2010-10-15,0.119,csv_import
2010-10-17,0.1045,csv_import
2010-10-19,0.1024,csv_import
2010-10-21,0.109,csv_import
2010-10-23,0.10901,csv_import
2010-10-25,0.15,csv_import
2010-10-27,0.19,csv_import
2010-10-29,0.191,csv_import
2010-10-31,0.199,csv_import
2010-11-02,0.1955,csv_import
2010-11-04,0.23601,csv_import
2010-11-06,0.29,csv_import
2010-11-08,0.37,csv_import
2010-11-10,0.2667,csv_import
2010-11-12,0.251,csv_import
2010-11-14,0.299,csv_import
2010-11-16,0.2827,csv_import
2010-11-18,0.289999,csv_import
2010-11-20,0.289,csv_import
2010-11-22,0.282,csv_import
2010-11-24,0.28299,csv_import
2010-11-26,0.289,csv_import
2010-11-28,0.28461,csv_import
2010-11-30,0.275,csv_import
2010-12-02,0.25,csv_import
2010-12-04,0.2589,csv_import
2010-12-06,0.225,csv_import
2010-12-08,0.2477,csv_import
2010-12-10,0.204,csv_import
2010-12-12,0.228,csv_import
2010-12-14,0.23,csv_import
2010-12-16,0.2459,csv_import
2010-12-18,0.249,csv_import
2010-12-20,0.275,csv_import
2010-12-22,0.267,csv_import
2010-12-24,0.25,csv_import
2010-12-26,0.269999,csv_import
2010-12-28,0.28,csv_import
2010-12-30,0.299999,csv_import
2011-01-01,0.299998,csv_import
2011-01-03,0.299998,csv_import
2011-01-05,0.298998,csv_import
2011-01-07,0.322,csv_import
2011-01-09,0.322998,csv_import
2011-01-11,0.329,csv_import
2011-01-13,0.405,csv_import
2011-01-15,0.4,csv_import
2011-01-17,0.4,csv_import
2011-01-19,0.3401,csv_import
2011-01-21,0.44,csv_import
2011-01-23,0.4443,csv_import
2011-01-25,0.425,csv_import
2011-01-27,0.4174,csv_import
2011-01-29,0.446,csv_import
2011-01-31,0.5,csv_import
2011-02-02,0.840099,csv_import
2011-02-04,0.88,csv_import
2011-02-06,0.92,csv_import
2011-02-08,0.9,csv_import
2011-02-10,1.1,csv_import
2011-02-12,1.0899,csv_import
2011-02-14,1.08,csv_import
2011-02-16,1.05019,csv_import
2011-02-18,1.05019,csv_import
2011-02-20,0.954896,csv_import
2011-02-22,0.869499,csv_import
2011-02-24,0.9499,csv_import
2011-02-26,0.988567,csv_import
2011-02-28,0.949231,csv_import
2011-03-02,0.9498,csv_import
2011-03-04,0.9392,csv_import
2011-03-06,0.910445,csv_import
2011-03-08,0.9072,csv_import
2011-03-10,0.87,csv_import
2011-03-12,0.9197,csv_import
2011-03-14,0.9,csv_import
2011-03-16,0.89,csv_import
2011-03-18,0.850617,csv_import
2011-03-20,0.79,csv_import
2011-03-22,0.799646,csv_import
2011-03-24,0.9,csv_import
2011-03-26,0.905,csv_import
2011-03-28,0.8575,csv_import
2011-03-30,0.795,csv_import
2011-04-01,0.79997,csv_import
2011-04-03,0.7998,csv_import
2011-04-05,0.71,csv_import
2011-04-07,0.7677,csv_import
2011-04-09,0.7676,csv_import
2011-04-11,0.781,csv_import
2011-04-13,1.0,csv_import
2011-04-15,1.08999,csv_import
2011-04-17,1.085,csv_import
2011-04-19,1.19,csv_import
2011-04-21,1.1979,csv_import
2011-04-23,1.549,csv_import
2011-04-25,1.701,csv_import
2011-04-27,1.95,csv_import
2011-04-29,2.7,csv_import
2011-05-01,4.09,csv_import
2011-05-03,3.49,csv_import
2011-05-05,3.5,csv_import
2011-05-07,3.7,csv_import
2011-05-09,3.937,csv_import
2011-05-11,6.065,csv_import
2011-05-13,8.45,csv_import
2011-05-15,8.55,csv_import
2011-05-17,8.38901,csv_import
2011-05-19,7.34,csv_import
2011-05-21,6.6036,csv_import
2011-05-23,7.45,csv_import
2011-05-25,7.51,csv_import
2011-05-27,8.92,csv_import
2011-05-29,8.4992,csv_import
2011-05-31,9.4998,csv_import
2011-06-02,10.57,csv_import
2011-06-04,17.41,csv_import
2011-06-06,19.23,csv_import
2011-06-08,31.9099,csv_import
2011-06-10,35.0,csv_import
2011-06-12,24.99,csv_import
2011-06-14,20.99,csv_import
2011-06-16,19.96,csv_import
2011-06-18,17.2,csv_import
2011-06-20,17.35,csv_import
2011-06-22,15.05,csv_import
2011-06-24,16.7501,csv_import
2011-06-26,17.51,csv_import
2011-06-28,17.52,csv_import
2011-06-30,17.5,csv_import
2011-07-02,16.49,csv_import
2011-07-04,15.85,csv_import
2011-07-06,16.5,csv_import
2011-07-08,15.6428,csv_import
2011-07-10,15.68,csv_import
2011-07-12,14.6399,csv_import
2011-07-14,14.1,csv_import
2011-07-16,14.1,csv_import
2011-07-18,13.6901,csv_import
2011-07-20,14.04,csv_import
2011-07-22,13.9389,csv_import
2011-07-24,13.98,csv_import
2011-07-26,14.4,csv_import
2011-07-28,14.0,csv_import
2011-07-30,13.8,csv_import
2011-08-01,13.5501,csv_import
2011-08-03,13.1,csv_import
2011-08-05,11.55,csv_import
2011-08-07,9.8,csv_import
2011-08-09,12.1,csv_import
2011-08-11,10.4959,csv_import
2011-08-13,10.05,csv_import
2011-08-15,11.89,csv_import
2011-08-17,11.3,csv_import
2011-08-19,11.81,csv_import
2011-08-21,11.59,csv_import
2011-08-23,11.49,csv_import
2011-08-25,10.9655,csv_import
2011-08-27,9.11,csv_import
2011-08-29,9.4811,csv_import
2011-08-31,9.0,csv_import
2011-09-02,8.4989,csv_import
2011-09-04,8.594,csv_import
2011-09-06,7.65713,csv_import
2011-09-08,7.31509,csv_import
2011-09-10,6.20892,csv_import
2011-09-12,7.081,csv_import
2011-09-14,5.99,csv_import
2011-09-16,5.23,csv_import
2011-09-18,5.0,csv_import
2011-09-20,6.795,csv_import
2011-09-22,5.83001,csv_import
2011-09-24,5.66,csv_import
2011-09-26,5.46014,csv_import
2011-09-28,4.989,csv_import
2011-09-30,5.35,csv_import
2011-10-02,5.16,csv_import
2011-10-04,5.03,csv_import
2011-10-06,4.93,csv_import
2011-10-08,4.594,csv_import
2011-10-10,4.25937,csv_import
2011-10-12,4.20612,csv_import
2011-10-14,4.11455,csv_import
2011-10-16,3.9009,csv_import
2011-10-18,2.9,csv_import
2011-10-20,2.42,csv_import
2011-10-22,3.3,csv_import
2011-10-24,3.2,csv_import
2011-10-26,2.876,csv_import
2011-10-28,3.255,csv_import
2011-10-30,3.65026,csv_import
2011-11-01,3.35,csv_import
2011-11-03,3.299,csv_import
2011-11-05,3.21,csv_import
2011-11-07,3.0289,csv_import
2011-11-09,3.114,csv_import
2011-11-11,3.0,csv_import
2011-11-13,3.099,csv_import
